param_name	param_description	param_description_long	param_unit	subsystem	mti	min_timestamp	max_timestamp	longest_gap	nan_fraction
IHT13029	HV_TEMPERATURE	HV_TEMPERATURE	degC	ITA	0 days 00:00:08	2009-03-17 09:09:49.821	2013-10-21 03:19:23.590	72 days 17:13:09.635000	0.13283336672008547
IHT13036	IBCV_TEMPERATURE	IBCV_TEMPERATURE	degC	ITA	0 days 00:00:08	2009-03-17 09:09:49.821	2013-10-21 03:19:23.590	72 days 17:13:09.635000	0.13283336672008547
IHT13046	LV_TEMPERATURE	LV_TEMPERATURE	degC	ITA	0 days 00:00:08	2009-03-17 09:09:49.821	2013-10-21 03:19:23.590	72 days 17:13:09.635000	0.13283336672008547
IHT13053	PXFA_HP_SECTIO_T	PXFA high pressure section temperature (in GO-IC-QIQ-0002_i8 PXFA pressure regulator temp., decription is obsolet)	degC	ITA	0 days 00:00:08	2009-03-17 09:09:49.821	2013-10-21 03:19:23.590	72 days 17:13:09.635000	0.13283336672008547
IHT13054	PXFA_FLOWSEN_T	PXFA flow sensor temperature	degC	ITA	0 days 00:00:08	2009-03-17 09:09:49.821	2013-10-21 03:19:23.590	72 days 17:13:09.635000	0.13283336672008547
IHT13055	PXFA_FLOWRES_T	PXFA flow restrictor temperature	degC	ITA	0 days 00:00:08	2009-03-17 09:09:49.821	2013-10-21 03:19:23.590	72 days 17:13:09.635000	0.13283336672008547
PHT10240	BAT_TMP_1_N	Battery Temperatue 1 nominal from: PCDU via IF: SD16_1N_or_1R to: CDMU-RU-A&B (PCDU-ICD-Info: cbt_tem1_n_S1/W13)	degC	EPS	0 days 00:00:15.995000	2009-03-17 07:27:28.608	2013-11-10 22:45:56.736	50 days 11:56:35.827000	0.03514790331196581
PHT10260	BAT_TMP_1_R	Battery Temperatue 1 redundant from: PCDU via IF: SD16_1N_or_1R to: CDMU-RU-A&B (PCDU-ICD-Info: cbt_tem1_r_S1/W14)	degC	EPS	0 days 00:00:15.995000	2009-03-17 07:27:28.608	2013-11-10 22:45:56.736	50 days 11:56:35.827000	0.03514790331196581
PHT10280	BAT_TMP_2_N	Battery Temperatue 2 nominal from: PCDU via IF: SD16_1N_or_1R to: CDMU-RU-A&B (PCDU-ICD-Info: cbt_tem2_n_S1/W15)	degC	EPS	0 days 00:00:15.995000	2009-03-17 07:27:28.608	2013-11-10 22:45:56.736	50 days 11:56:35.827000	0.03514790331196581
PHT10300	BAT_TMP_2_R	Battery Temperatue 2 redundant from: PCDU via IF: SD16_1N_or_1R to: CDMU-RU-A&B (PCDU-ICD-Info: cbt_tem2_r_S1/W16)	degC	EPS	0 days 00:00:15.995000	2009-03-17 07:27:28.608	2013-11-10 22:45:56.736	50 days 11:56:35.827000	0.03514790331196581
PHT12880	PCU_DHS_TEMP_N	DHS temperature nominal from: PCDU via IF: SD16_1N_or_1R to: CDMU-RU-A&B (PCDU-ICD-Info: c_temp_dhs_n_S4/W34)	degC	EPS	0 days 00:00:15.995000	2009-03-17 07:27:28.608	2013-11-10 22:45:56.736	50 days 11:56:35.827000	0.03514790331196581
PHT12900	PCU_DHS_TEMP_R	DHS temperature redundant from: PCDU via IF: SD16_1N_or_1R to: CDMU-RU-A&B (PCDU-ICD-Info: c_temp_dhs_r_S4/W35)	degC	EPS	0 days 00:00:15.995000	2009-03-17 07:27:28.608	2013-11-10 22:45:56.736	50 days 11:56:35.827000	0.03514790331196581
SST00101	TEMP_SENSOR_1	Temperature_sensor_1	degC	SSTI-A	0 days 00:00:08	2009-03-17 10:06:03.236	2013-11-10 22:46:09.319	54 days 23:29:15.811000	0.0482688969017094
SST00102	TEMP_SENSOR_2	Temperature_sensor_2	degC	SSTI-A	0 days 00:00:08	2009-03-17 10:06:03.236	2013-11-10 22:46:09.319	54 days 23:29:15.811000	0.0482688969017094
SST00103	TEMP_SENSOR_3	Temperature_sensor_3	degC	SSTI-A	0 days 00:00:08	2009-03-17 10:06:03.236	2013-11-10 22:46:09.319	54 days 23:29:15.811000	0.0482688969017094
SST00104	TEMP_SENSOR_4	Temperature_sensor_4	degC	SSTI-A	0 days 00:00:08	2009-03-17 10:06:03.236	2013-11-10 22:46:09.319	54 days 23:29:15.811000	0.0482688969017094
THT00000	RU_INT_TH_REF1	CDMU RU Internal THERM Interface fix Resistor Reference 1 (NOT_CONNECTED_01) from: Thermistor via IF: THERM_SIGN_000 to: CDMU-RU-A&B	degC	TCS	0 days 00:00:32	2009-03-17 07:27:28.453	2013-11-10 22:45:40.736	50 days 11:57:07.826000	0.03514790331196581
THT00001	STRDPU_HTR_T1	Star Tracker Floor 4 temperature for thermal control (T1, HTR_19) from: Thermistor via IF: THERM_SIGN_001 to: CDMU-RU-A&B	degC	TCS	0 days 00:00:32	2009-03-17 07:27:28.453	2013-11-10 22:45:40.736	50 days 11:57:07.826000	0.03514790331196581
THT00002	XST_HTR1_T1	Xenon Tank temperature for thermal control (T1, HTR_16) from: Thermistor via IF: THERM_SIGN_002 to: CDMU-RU-A&B	degC	TCS	0 days 00:00:32	2009-03-17 07:27:28.453	2013-11-10 22:45:40.736	50 days 11:57:07.826000	0.03514790331196581
